Premise,Hypothesis,Label
"Cannot exclude consumer protections for quality, fitness for purpose, and sale by sample.","Any term purporting to limit a consumer’s statutory rights regarding quality, fitness for purpose, or sale by sample shall be ineffective.",CONTRADICTION
Delivery and payment must occur at the same time unless agreed otherwise.,"Unless otherwise agreed, delivery of goods and payment of the price shall occur concurrently; the Seller shall be ready to deliver, and the Buyer shall be ready to pay, at the same time.",ENTAILMENT
The Commissioner must grant or refuse approval to terminate employment within 3 months of the employer’s application.,The Commissioner of Labour shall grant or refuse approval for termination within three (3) months from the date of receipt of the Employer’s application.,ENTAILMENT
"If the equipment is not delivered on time or is defective, the lessee may reject and end the lease.","In the event that the Equipment is not delivered within the agreed timeframe or does not conform to the agreed specifications, the Lessee may reject the Equipment and terminate this Lease Agreement",ENTAILMENT
Agreements to guarantee or be responsible for another’s debt must be in writing and signed to be enforceable.,Any obligation to guarantee the debt of another party under this Agreement shall be valid only if in writing and signed by the guarantor,ENTAILMENT
Rent receipts are mandatory for all payments.,The Landlord shall issue a receipt for every rent or advance payment made by the Tenant.,ENTAILMENT
"A worker is not protected by this Act if their total period of employment is less than 180 days, even after counting approved leave, injury leave, occupational disease leave, employer-caused work stoppages, lawful strikes or lockouts (up to 30 days), and statutory holidays.","This Act shall not apply where the Employee has been employed for a total period of less than one hundred and eighty (180) days, inclusive of all approved absences, statutory leave, injury-related leave, lawful strike or lockout periods, and days on which work was not provided by the Employer.",ENTAILMENT
"Employers must keep a wage register showing employee names, job type, and wages.",The Employer shall not maintain any wage or employment registers.,CONTRADICTION
"If a woman worker worked any days during the 2‑week pre‑confinement period, she is entitled to maternity benefit for the same number of days after the standard period ends.",Any days worked by a female employee during the pre-confinement maternity period shall be added to her post-confinement maternity leave entitlement.,ENTAILMENT
All goods and services must meet determined standards and specifications.,Goods and services supplied shall conform to applicable standards and specifications determined by law.,ENTAILMENT
"If an input error occurs in an electronic contract and cannot be corrected immediately, the person may withdraw that portion of the contract if notified promptly.",A Party may withdraw any portion of an electronic communication in the event of an input error that cannot be corrected immediately.,ENTAILMENT
An employee must be granted a holiday on each Full Moon Poya Day.,"The Employee shall be granted a holiday on each Full Moon Poya Day, subject to statutory provisions regarding overlapping holidays.",ENTAILMENT
"For loans over Rs. 2,500, any interest rate above 15% per year is presumed unreasonable unless the lender proves it is reasonable.","Interest on loans exceeding Rs. 2,500 shall not exceed 15% per annum unless the lender proves reasonableness.",CONTRADICTION
Gratuity for employees in converted public companies can be paid via cash or bonds.,"Employees of a public corporation or government-owned business converted into a public company shall receive their gratuity in cash or via bonds issued by the Central Bank, as chosen by the Employer.",ENTAILMENT
Seller must deliver goods and buyer must accept and pay as agreed.,"The Seller shall deliver the goods, and the Buyer shall accept and pay for them as per the contract terms.",CONTRADICTION
Rights to the Fund’s monies are strictly limited to statutory provisions; no additional or extrastatutory claims are allowed.,The Employee may assert independent contractual claims over trust fund monies.,CONTRADICTION
Employers cannot deduct EPF contributions or surcharge from employee wages; contracts attempting this are void.,No deduction for Employer’s EPF obligations or surcharges shall be made from Employee wages; any agreement to the contrary shall be null and void,ENTAILMENT
"Termination includes any form of non-employment by the employer, whether temporary or permanent, including termination due to business closure, but excluding disciplinary dismissal.","For the purposes of this Agreement, termination of employment shall include non-employment, whether temporary or permanent, including termination arising from closure of the Employer’s business, other than disciplinary dismissal.",ENTAILMENT
"If a money lender fails to keep proper loan records, they cannot legally enforce the loan in court.",Failure to maintain proper loan records shall void the Lender’s right to enforce the loan,ENTAILMENT
The Employer may withhold or forfeit gratuity if termination is due to proven misconduct causing loss.,"Any termination, for any reason whatsoever, shall result in full forfeiture of gratuity.",CONTRADICTION
False claims about warranties or guarantees are illegal.,"Traders may misrepresent warranties, guarantees, or product assurances without liability.",CONTRADICTION
Employers cannot deduct EPF contributions or surcharge from employee wages; contracts attempting this are void.,The Employer may deduct its provident fund contribution and any surcharge from the Employee’s salary.,CONTRADICTION
"The Commissioner may refer any industrial dispute for conciliation, arbitration, or to a labour tribunal.","In the event of a dispute arising under this Agreement, the matter may be referred by the Commissioner for conciliation, arbitration, or adjudication by a labor tribunal, as deemed appropriate and in accordance with applicable law",ENTAILMENT
A person who sold a business and receives ongoing profit payments is not a partner and is not liable for the business’s debts.,A person receiving profits in consideration of the sale of goodwill shall not be deemed a partner or liable for business debts.,CONTRADICTION
Pawnbroker loan agreements must allow redemption of pledged goods within 12 months.,The Pawner shall have the right to redeem pledged goods within twelve months from the date of pawning.,CONTRADICTION
"On termination, the employee must be allowed unused annual leave with pay or be paid in lieu if leave cannot be taken.","Upon termination, the Employee forfeits all unused leave and is not entitled to payment in lieu",CONTRADICTION
An employee is entitled to up to 7 days of paid casual/medical leave per year.,"The Employee shall not be entitled to any casual, medical, or personal leave with pay.",CONTRADICTION
It is a criminal offence for a lender to accept a promissory note with a false or blank amount.,"Acceptance of a promissory note with a false or blank amount shall constitute a criminal offence, punishable under law.",CONTRADICTION
Fitness-for-purpose exclusions are invalid unless clearly disclosed.,Any provision excluding or modifying fitness-for-purpose obligations is valid only if clearly brought to the attention of the Hirer prior to execution of this Agreement.,ENTAILMENT
Employers must negotiate with unions that represent at least 40% of workers.,The Employer is not obligated to negotiate with any trade union regardless of the percentage of Employee representation,CONTRADICTION
"If a worker gives notice of expected confinement, the employer must not assign her work harmful to her or her child during pregnancy and 3 months after confinement.",The Employer may assign any duties regardless of pregnancy or health condition.,CONTRADICTION
Delivery and payment must occur at the same time unless agreed otherwise.,Delivery of goods and payment shall occur concurrently unless otherwise agreed in writing.,CONTRADICTION
"Employers must provide sanitary and washing facilities, including separate female facilities.",No sanitary or washing facilities are guaranteed to Employees under this Agreemen,CONTRADICTION
No person under 18 may be employed in hazardous occupations.,The Employer shall not employ any person under the age of eighteen years in any hazardous occupation as prescribed by law.,ENTAILMENT
"Employers must provide sanitary and washing facilities, including separate female facilities.","The Employer shall provide and maintain suitable sanitary conveniences and washing facilities for Employees, including separate facilities for female Employees where applicable.",ENTAILMENT
The parties to the document or anyone with a legal interest can submit it for registration.,Only the executing party may submit an instrument for registration; third-party submissions are not permitted.,CONTRADICTION
Goods sold by sample must match the sample in quality.,"In contracts for the sale of goods by sample, the Seller warrants that the bulk of goods shall correspond in quality to the sample provided.",ENTAILMENT
Awareness or agreement to a negligence exclusion clause does not mean acceptance of risk.,"A party’s knowledge or acceptance of a term excluding or limiting liability for negligence shall not, by itself, constitute consent to assume the risk",CONTRADICTION
Clauses restricting the hirer’s right to terminate are void.,Any term in this Agreement restricting the Hirer’s statutory right to terminate the hire-purchase is void.,ENTAILMENT
Courts will presume electronic documents and e-signatures are genuine unless proven otherwise.,"Courts shall, unless disproved, presume the authenticity of electronic documents, records, or signatures and the identity of their originators.",CONTRADICTION
Children cannot participate in entertainment for which payment is charged.,Children may participate in entertainment activities for which admission fees are charged.,CONTRADICTION
EPF funds cannot be assigned or attached except as permitted by law.,"The Employer acknowledges that EPF contributions and any accrued interest to the Employee’s individual account are inalienable and cannot be assigned, attached, or otherwise transferred except as required under law.",ENTAILMENT
Gratuity is calculated based on wage or salary for each year of service.,The Employer shall calculate gratuity based on the Employee’s last drawn salary and completed years of service.,ENTAILMENT
Any valid settlement is binding on all parties and becomes part of their employment contracts.,The Parties agree that any valid settlement currently in force shall be binding and shall constitute an integral part of their respective employment contracts.,ENTAILMENT
Cash price must be disclosed in writing before entering a hire-purchase agreement.,The Owner shall disclose the cash price of the goods in writing prior to entering a hire-purchase agreement.,CONTRADICTION
All service contracts have an implied warranty of due care and skill.,No implied warranty of due care or skill shall apply to the provision of services.,CONTRADICTION
The Commissioner or authorized officer must attempt to settle any dispute referred for conciliation.,"The Employer and Employee agree that any dispute referred to the Commissioner or an authorized officer shall be subject to their efforts to achieve an amicable resolution, following investigation and conciliation procedures as determined by the Commissioner.",ENTAILMENT
"Employers must keep accurate written wage records including wages paid, dates, hours worked, and deductions.","The Employer shall maintain accurate wage records in Sinhala, Tamil, or English, showing wages, payment dates, hours worked, and deductions.",CONTRADICTION
"Violating wage provisions can result in fines up to Rs. 5,000 or imprisonment up to 6 months, or both","Non-compliance with wage obligations may result in fines, imprisonment, or both as provided under the Wages Boards Ordinance, No. 27 of 1941",ENTAILMENT
Wage records must be kept for at least four years and produced when requested.,The Employer shall preserve wage records for at least four years and produce them upon request by an authorized officer.,CONTRADICTION
Disobeying the Commissioner’s order is a criminal offence.,Failure to comply with any order of the Commissioner shall not result in any offence or penalty,CONTRADICTION
Employers must pay gratuity to workmen who have completed the minimum service period.,"The Employer states that gratuity payments are discretionary and not mandatory, regardless of the Employee’s length of service.",CONTRADICTION
"If an employee works on a Full Moon Poya Day, they must be paid at least 1.5× the normal daily rate.","Where the Employee is employed on a Full Moon Poya Day, the Employee shall be paid not less than one and one-half (1.5) times the normal daily rate of remuneration.",ENTAILMENT
Gratuity is calculated based on wage or salary for each year of service.,"Gratuity, if any, shall not be calculated based on the Employee’s last drawn salary.",CONTRADICTION
Employers must pay 12% of the employee’s monthly earnings to EPF by the last day of the following month.,The Employer shall contribute 12% of the Employee’s total monthly earnings to the Employees’ Provident Fund and remit such contributions on or before the last day of the succeeding month in accordance with applicable law.,ENTAILMENT
"Withdrawals from individual ETF accounts are restricted to once every 5 years, except for members over 60 or those permanently leaving Sri Lanka.",Any conditions on withdrawal of trust fund benefits in this Agreement shall not contravene statutory limitations on withdrawal frequency and allowable exceptions.,ENTAILMENT
Courts will presume electronic documents and e-signatures are genuine unless proven otherwise.,Electronic records and e-signatures shall be presumed genuine unless proven otherwise in a court of law.,ENTAILMENT
Goods must be free from unknown liens/encumbrances.,The Seller guarantees that the goods are free from undisclosed charges or liens at the time of sale.,CONTRADICTION
Hirer has a right to early purchase with rebate.,The Hirer may elect to purchase the goods before the final instalment and shall receive a rebate of charges in accordance with applicable regulations.,CONTRADICTION
Goods must be free from undisclosed charges or encumbrances.,The Owner warrants that the goods are free from any undisclosed charges or encumbrances at the time of sale.,CONTRADICTION
No person under 16 years old may be employed in a shop or office.,No person under the age of sixteen (16) years shall be employed under this Agreement.,ENTAILMENT
"On termination of employment, the employee is entitled to receive the amount standing to their credit in the Fund, subject to statutory conditions.",Termination of employment shall not entitle the Employee to any trust fund payment.,CONTRADICTION
Traders cannot hoard goods beyond normal trading requirements.,The Trader shall not stock goods in quantities exceeding normal trading requirements or personal consumption limits.,ENTAILMENT
Labour tribunals can order reinstatement of dismissed workers.,"The Parties acknowledge that a Labour Tribunal may order reinstatement or discontinuance of service for any disputed dismissal, and such orders shall be binding.",ENTAILMENT
"If an employee works on a Full Moon Poya Day, they must be paid at least 1.5× the normal daily rate.",Work on Poya Days shall be compensated at the standard daily wage only,CONTRADICTION
New owners cannot evict existing tenants for personal use in most cases.,"If the Landlord acquired the premises after the specified date, they shall not evict the existing Tenant for personal use except as permitted by law.",ENTAILMENT
No person under 18 may be employed in hazardous occupations.,Employees under the age of eighteen may be assigned to hazardous occupations at the Employer’s discretion.,CONTRADICTION
Goods sold by sample must be free from hidden defects.,The Seller warrants that goods sold by sample are free from hidden defects not discoverable by reasonable inspection.,CONTRADICTION
Traders must display price lists conspicuously in their business premises.,The Trader shall prominently display the applicable retail or wholesale prices of goods at the place of business.,ENTAILMENT
Any contract clause that limits worker rights under this Act is invalid.,Any contract clause limiting or modifying worker rights under this Act shall be valid and enforceable.,CONTRADICTION
A woman worker may nominate someone to receive her maternity benefit on her behalf.,Maternity benefits shall be paid only to the Employee and shall not be payable to any nominated person.,CONTRADICTION
Traders cannot impose conditions requiring purchase of additional goods or services (no forced bundling).,"The sale of goods shall not be conditional upon the purchase of any other goods or services, except payment of the stated price.",ENTAILMENT
"If there is a dispute about whether a dismissal notice given to a woman worker was for sufficient cause, the matter must be decided by the Commissioner of Labour, whose decision is final.",Any dispute relating to dismissal during maternity shall be referred to the Commissioner of Labour for final determination.,ENTAILMENT
Employers must provide adequate lighting and ventilation.,The Employer shall not be responsible for providing lighting or ventilation in the workplace.,CONTRADICTION
Awareness or agreement to a negligence exclusion clause does not mean acceptance of risk.,A party’s acknowledgment of any limitation of liability shall not be deemed acceptance of any risk.,ENTAILMENT
Seller must have the legal right to sell the goods.,The Seller warrants that he has the legal right to sell the goods at the time ownership passes.,CONTRADICTION
Approved absences do not affect service continuity.,Authorized leave or employer-approved absence shall not interrupt the continuity of the Employee’s service for statutory benefit calculations.,ENTAILMENT
"Employees aged 16–18 (male) and all female employees cannot be employed before 6 a.m. or after 6 p.m., except: (i) females 18+ in hotels/restaurants until 10 p.m., (ii) females 18+ in residential hotels, (iii) females 18+ in shops/offices until 8 p.m., (iv) males 16+ in hotels/restaurants/entertainment until 10 p.m., (v) females 18+ in IT/BPO/back offices","No Employee who is a female, or a male Employee between the ages of sixteen (16) and eighteen (18) years, shall be employed before 6.00 a.m. or after 6.00 p.m., except as specifically permitted under Section 10(2) of the Shop and Office Employees Act, including employment in hotels, restaurants, IT/BPO institutions, and other prescribed work.",ENTAILMENT
All contributions and interest must be credited to the employee’s individual EPF account.,The Employer shall ensure that all contributions and accrued interest are credited to the individual EPF account of the employee in accordance with applicable regulations.,ENTAILMENT
Electronic documents and records are admissible as evidence in court proceedings.,Electronic documents or communications shall be admissible as evidence in legal proceedings.,CONTRADICTION
Goods sold by description must match that description.,The Seller guarantees that all goods sold by description or sample shall strictly correspond to the description or sample provided.,ENTAILMENT
Any valid settlement is binding on all parties and becomes part of their employment contracts.,The Parties agree that terms of any settlement shall not affect the employment contract and shall have no binding effect,CONTRADICTION
The employer must give the worker a copy of the termination request and allow the worker to respond before a decision is made.,"Any application made by the Employer seeking approval for termination shall be served on the Employee, who shall be afforded a reasonable opportunity to be heard before a decision is made.",ENTAILMENT
"False claims about necessity of goods, services, or repairs are illegal.","The Trader shall not mislead or coerce the Consumer regarding the necessity of any goods, services, replacements, or repairs.",ENTAILMENT
Clauses restricting the hirer’s right to terminate are void.,Any clause attempting to restrict the Hirer’s right to terminate the hire-purchase agreement is void.,CONTRADICTION
"Employees aged 16–18 (male) and all female employees cannot be employed before 6 a.m. or after 6 p.m., except: (i) females 18+ in hotels/restaurants until 10 p.m., (ii) females 18+ in residential hotels, (iii) females 18+ in shops/offices until 8 p.m., (iv) males 16+ in hotels/restaurants/entertainment until 10 p.m., (v) females 18+ in IT/BPO/back offices",Employees of any age or gender may be required to work at any time of day or night.,CONTRADICTION
A lessee has a right to peaceful possession of leased equipment; the lessor must protect it.,The Lessor shall ensure that the Lessee enjoys peaceful and undisturbed possession of leased equipment during the lease term.,CONTRADICTION
Goods must be of merchantable quality unless a lawful exception applies.,"The Owner warrants that all goods supplied under this agreement are of merchantable quality, except as lawfully excluded.",CONTRADICTION
Advance rent cannot exceed three months of the lawful rent.,The Tenant shall not be required to pay more than three months’ rent in advance,ENTAILMENT
Extra payments such as key money or premiums are illegal.,The Tenant shall pay a premium and additional consideration as required by the Landlord.,CONTRADICTION
A woman worker may give notice to her employer of her expected confinement within one month before the date.,A pregnant employee may notify the Company of her expected date of confinement at least one month in advance.,ENTAILMENT
Agreements to guarantee or be responsible for another’s debt must be in writing and signed to be enforceable.,Any agreement to guarantee another’s debt shall be in writing and signed to be enforceable.,CONTRADICTION
"An employer must not terminate employment solely because of the worker’s pregnancy, confinement, or related illness.",Pregnancy or confinement may constitute valid grounds for termination of employment.,CONTRADICTION
EPF contributions can be voluntarily increased above statutory minimums.,Contributions to the Provident Fund shall not exceed the minimum amounts expressly stated in this Agreement.,CONTRADICTION
A sale of goods contract involves transfer of ownership for money.,"The Seller agrees to transfer ownership of goods to the Buyer in exchange for the agreed price, as defined under the Sale of Goods Ordinance.",CONTRADICTION
Pawnbroker loan contracts must not charge interest above the legally specified maximum rate.,The Pawnbroker shall not charge interest on loans exceeding the maximum rates specified by law.,CONTRADICTION
Landlords must provide a written rent statement when requested.,"Upon written request, the Landlord shall provide the Tenant with a statement showing standard rent, permitted increases, and receivable rent.",ENTAILMENT
A settlement must be in writing and signed by both parties or their representatives.,Any settlement of an industrial dispute may be deemed valid even if not recorded in writing or signed by either party.,CONTRADICTION
"Traders must issue receipts showing date, quantity, price, and transaction type.","Upon request, the Trader shall issue a receipt indicating date, quantity, price, and nature of the transaction.",ENTAILMENT
Contracts to pledge movable property are invalid unless the property has been physically delivered to the pledgee.,Pledge agreements for movable property shall only be valid upon actual delivery of the pledged item to the pledgee,ENTAILMENT
All service contracts have an implied warranty of due care and skill.,All services provided under this Agreement shall be performed with due care and skill.,ENTAILMENT
"Money lenders must keep clear written records of all loan transactions showing amounts, payments, and charges in plain language.",The Lender shall maintain accurate and clear records of all loan transactions in plain words and numerals,ENTAILMENT
Employment details of children must be disclosed to authorized officers when requested.,The Employer and guardians shall not be obligated to disclose any information regarding child employment to authorities.,CONTRADICTION
An employer must not terminate a worker’s employment unless the worker gives written consent or the Labour Commissioner gives prior written approval.,"The Employer shall not terminate the scheduled employment of the Employee unless prior written consent of the Employee is obtained or prior written approval is granted by the Commissioner of Labour, in accordance with applicable law.",ENTAILMENT
Loan agreements must comply with Board-set maximum interest rates and loan term limits.,"All loan agreements executed under this contract shall comply with maximum interest rates, terms, and conditions as directed by the Board.",CONTRADICTION
Money lenders are not allowed to harass or intimidate borrowers by targeting their home or workplace.,"The Lender shall not harass, intimidate, or threaten the Borrower or any member of their family",ENTAILMENT
"Night work for women is allowed only voluntarily, with Labour Commissioner approval, additional pay, welfare supervision, rest facilities, and maximum 10 nights per month.","Any night work assigned to female employees shall be strictly voluntary and subject to written approval from the Commissioner of Labour, enhanced remuneration, welfare supervision, and all statutory safeguards.",ENTAILMENT
"If an input error occurs in an electronic contract and cannot be corrected immediately, the person may withdraw that portion of the contract if notified promptly.","In the event of an input error in an electronic communication where immediate correction is not provided, the originator shall have the right to withdraw the affected portion.",CONTRADICTION
"An employer must pay maternity benefit at the prescribed rate for the full statutory period (12 weeks for live birth, 6 weeks for non‑live), including extra days under the proviso rule.",Maternity benefits shall be unpaid unless otherwise determined by the Employer.,CONTRADICTION
Gratuity must be paid to heirs if the employee dies before receiving it.,"If the Employee dies before receiving gratuity, the amount shall be paid to the Employee’s legal heirs.",ENTAILMENT
"If the woman worker dies, the employer must pay due maternity benefit to her nominee or her legal heir.","In the event of the employee’s death, maternity benefits shall be paid to her nominee or lawful heir.",ENTAILMENT
The Act applies only to employers with 15 or more workers.,This Agreement applies termination rules equally regardless of the number of workers employed,CONTRADICTION
Eviction for landlord’s own use requires one year’s written notice.,The Landlord shall provide at least one year’s written notice if seeking to evict the Tenant for personal use of the premises.,ENTAILMENT
"For loans up to Rs. 100, any interest rate above 20% per year is presumed unreasonable unless the lender proves otherwise.",Interest on loans up to Rs. 100 shall not exceed 20% per annum unless deemed reasonable by a court,ENTAILMENT
"If the employer dies, the legal representative is responsible for paying the gratuity.","In the event of the Employer’s death, no gratuity obligations shall pass to the Employer’s legal representatives.",CONTRADICTION
"If a loan’s total charges (interest, fees, penalties) are excessive and the transaction is harsh or unfair, the court can review the loan and reduce the amount owed to what is fair.",Any loan deemed excessively burdensome or unconscionable may be reviewed and adjusted by the court to ensure fairness.,CONTRADICTION
All goods must be reasonably fit for their intended purpose.,All goods supplied shall be reasonably fit for their intended purpose.,ENTAILMENT
No person under 16 years old may be employed in a shop or office.,The Employer may engage persons below sixteen (16) years of age for shop or office work,CONTRADICTION
Goods must be free from undisclosed charges or encumbrances.,The Owner warrants that the goods are free from any undisclosed charge or encumbrance in favour of any third party at the time of this Agreement.,ENTAILMENT
EPF funds cannot be assigned or attached except as permitted by law.,The Employee may assign or pledge provident fund balances as security for personal obligations.,CONTRADICTION
Service under previous employers counts toward gratuity if ownership changes within five years.,"Where the Employer’s business or establishment is transferred within five years, the Employee’s prior service under the previous Employer shall be included in calculating gratuity.",ENTAILMENT
Hirer has a right to early purchase with rebate.,"The Hirer may, at any time before the final instalment is due, elect to complete the purchase by written notice, and shall be entitled to a rebate of charges in accordance with applicable regulations",ENTAILMENT
Force or harassment to evict a tenant is strictly prohibited.,"The Landlord shall not use force, threats, or harassment to evict the Tenant or demand rent above the authorized amount.",ENTAILMENT
A woman worker is entitled to 6 weeks of maternity benefit for a still birth: 2 weeks before + 4 weeks after.,No maternity leave shall be granted where confinement does not result in a live birth.,CONTRADICTION
Non-payment can lead to court action and fines imposed by a Magistrate.,"If the Employer fails to comply with wage payment notices, the Commissioner-General shall report to the Magistrate, who may summon the Employer to recover unpaid wages.",ENTAILMENT
An employee must be given meal intervals as specified in the Act’s Schedule.,The Employee agrees to work continuously without meal or rest intervals.,CONTRADICTION
A promissory note that does not clearly state loan details cannot be enforced in court.,Any promissory note not meeting statutory requirements shall be unenforceable unless relief is granted by a court,ENTAILMENT
"If a termination is unlawful, the Commissioner may order reinstatement and payment of wages and benefits, and the employer must comply.","Where termination is unlawful, the Commissioner may order reinstatement of the Employee with full wages and benefits, and the Employer shall comply with such order.",ENTAILMENT
The Commissioner must notify both employer and worker in writing of the decision on a termination application.,Written notice of the Commissioner’s decision shall be provided to both the Employer and the Employee.,ENTAILMENT
A landlord cannot separately charge for furniture or fittings.,"The Landlord shall not charge separately for furniture, fittings, or appliances on the premises.",ENTAILMENT
"If an employee works on a public holiday, they must receive a replacement holiday or double pay.","Where the Employee is required to work on a declared public holiday with prior approval, the Employee shall be granted a substitute holiday with full pay or be paid at double the normal rate of remuneration.",ENTAILMENT
Contract clauses cannot override worker rights granted by labour tribunals.,Any clause in this Agreement limiting worker rights shall be valid and enforceable notwithstanding any labour tribunal decision,CONTRADICTION
